Datetime,Close,High_AMZN,Low_AMZN,Open_AMZN,Volume_AMZN,SMA20,SMA44,SMA50,SMA100,SMA200,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,avg_sentiment
2023-10-12 16:30:00,131.9499969482422,134.47999572753906,131.8300018310547,134.29010009765625,7563829,130.67318954467774,128.39644067937678,128.01451965332032,127.85008598327637,133.2184273147583,131.75635430652153,130.32106468851606,1.43528961800547,1.2047654452292231,0.23052417277624682,0.0
2023-10-12 17:30:00,131.6085968017578,132.1649932861328,131.22999572753906,131.94500732421875,5853044,130.8341194152832,128.5189087607644,128.14469161987304,127.85527198791505,133.18287029266358,131.73362238271173,130.41643743764507,1.317184945066657,1.22724934519671,0.08993559986994715,0.0
2023-10-12 18:30:00,132.14999389648438,132.33999633789062,131.44000244140625,131.60000610351562,4993560,131.0271194458008,128.6489086151123,128.29509155273436,127.8785718536377,133.15427028656006,131.79767953867676,130.54484902718872,1.2528305114880425,1.2323655784549765,0.020464933033065957,0.0
2023-10-12 19:30:00,132.33999633789062,132.4600067138672,132.1199951171875,132.14999389648438,4754280,131.15811920166016,128.78890852494672,128.45325149536131,127.9110718536377,133.12967029571533,131.88111289240197,130.67782290205554,1.203289990346434,1.226550460833268,-0.023260470486833995,0.0
2023-10-13 13:30:00,132.19520568847656,133.3144989013672,131.41000366210938,132.97999572753906,10710060,131.24704971313477,128.91061782836914,128.60155563354493,127.9350008392334,133.10564685821532,131.92943486102882,130.7902216269756,1.1392132340532157,1.2090830154772576,-0.06986978142404188,0.0
2023-10-13 14:30:00,130.25,132.3699951171875,130.2100067138672,132.18499755859375,6069066,131.23479995727538,128.9869814786044,128.6825436401367,127.94660087585449,133.07124683380127,131.6710602670244,130.7502052101626,0.9208550568617966,1.1514374237541654,-0.23058236689236877,0.0
2023-10-13 15:30:00,130.66000366210938,130.75999450683594,129.80999755859375,130.24200439453125,5308643,131.28704986572265,129.10857252641156,128.77294372558595,127.94880485534668,133.03659687042236,131.51551309703746,130.74352361401048,0.7719894830269709,1.0755478356087265,-0.30355835258175556,0.0
2023-10-13 16:30:00,129.21519470214844,130.88999938964844,129.19000244140625,130.66000366210938,4043831,131.26929473876953,129.21073601462624,128.83284759521484,127.93255683898926,132.99197284698485,131.16161795936222,130.63031406498368,0.5313038943785386,0.966699047362689,-0.4353951529841503,0.0
2023-10-13 17:30:00,129.69000244140625,129.8000030517578,128.9499969482422,129.1999969482422,3946916,131.28104476928712,129.30164510553533,128.89804763793944,127.91215690612793,132.9589228439331,130.93521557198437,130.5606613521261,0.3745542198582825,0.8482700818618077,-0.4737158620035252,0.0
2023-10-13 18:30:00,129.48500061035156,130.24000549316406,129.3502960205078,129.6999969482422,4294457,131.28129501342772,129.38903149691495,128.96414764404298,127.89428886413575,132.92347286224364,130.71210557788703,130.4809827786613,0.23112279922571588,0.7248406253345894,-0.4937178261088735,0.0
