Datetime,Close,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,SMA20,SMA44,SMA50,SMA100,SMA200,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,Hour,HourlyCandleCount,Date,avg_sentiment
2023-09-01 13:30:00+00:00,330.0899963378906,331.989990234375,327.45001220703125,331.30999755859375,3854429,,,,,,330.0899963378906,330.0899963378906,0.0,0.0,0.0,13,1,2023-09-01,0.0
2023-09-01 14:30:00+00:00,328.6300048828125,330.07000732421875,327.864990234375,330.07000732421875,1997748,,,,,,329.8653822678786,329.98184882269965,-0.11646655482104507,-0.023293310964209016,-0.09317324385683605,14,2,2023-09-01,0.0
2023-09-01 15:30:00+00:00,328.1099853515625,328.8699951171875,327.4800109863281,328.6499938964844,1329892,,,,,,329.59532120383,329.8431922692821,-0.24787106545210236,-0.06820886186178769,-0.17966220359031465,15,3,2023-09-01,0.0
2023-09-01 16:30:00+00:00,327.32000732421875,328.3299865722656,327.29998779296875,328.0950012207031,1194451,,,,,,329.24527291465904,329.6562896807589,-0.4110167660998627,-0.1367704427094027,-0.27424632339046,16,4,2023-09-01,0.0
2023-09-01 17:30:00+00:00,327.19000244140625,327.9093933105469,326.7799987792969,327.29998779296875,1071318,,,,,,328.92907745723556,329.47360173710314,-0.5445242798675736,-0.2183212101410369,-0.3262030697265367,17,5,2023-09-01,0.0
2023-09-01 18:30:00+00:00,328.2799987792969,328.3999938964844,326.9200134277344,327.1400146484375,983767,,,,,,328.82921919909114,329.38518670319155,-0.5559675041004084,-0.2858504689329112,-0.2701170351674972,18,6,2023-09-01,0.0
2023-09-01 19:30:00+00:00,328.6600036621094,328.739990234375,327.8500061035156,328.2900085449219,1299563,,,,,,328.8031860395555,329.3314694408892,-0.528283401333681,-0.3343370554130652,-0.19394634592061583,19,7,2023-09-01,0.0
2023-09-05 13:30:00+00:00,330.4800109863281,330.8705139160156,328.6600036621094,329.0,3335616,,,,,,329.06115910828976,329.41654659240317,-0.3553874841134075,-0.33854714115313367,-0.016840342960273813,13,1,2023-09-05,0.0
2023-09-05 14:30:00+00:00,333.2799987792969,334.8500061035156,330.29998779296875,330.45001220703125,3949600,,,,,,329.71021136536774,329.70272823587675,0.007483129490992724,-0.2693410870243084,0.27682421651530115,14,2,2023-09-05,0.0
2023-09-05 15:30:00+00:00,333.5292053222656,334.1199951171875,332.55999755859375,333.29998779296875,1612958,,,,,,330.2977488971982,329.9861709830167,0.31157791418149827,-0.1531572867831471,0.4647352009646454,15,3,2023-09-05,0.0
